No,温泉名,施設名,施設ID,画像1,画像2,画像3,ジャンル,カテゴリー1,カテゴリー2,カテゴリー3,カテゴリー4,カテゴリー5,カテゴリー6,カテゴリー7,口コミ点数,口コミ件数,説明テキスト,住所,緯度,経度,営業期間,滞在時間（分）,優先表示フラグ,スポット番号,次の場所までの移動時間
80,,仁王尊プラザ（釣堀）,F0080,,,,観光,ネット予約OK,王道,子連れ,カップル,シニア,,,4.7,71,"鬼怒川・川治温泉郷で一番大きな釣堀が併設されております。
清流をせき止めた池でマス釣りをお楽しみいただけます。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-2522  栃木県日光市鬼怒川温泉大原371番地の1,36.8113422,139.7087501,営業時間：１０：００～１６：００,,,,
81,,グラススタジオ ポンテ,F0081,,,,観光,ネット予約OK,王道,,,,,,4.2,43,グラススタジオ　ポンテは1999年春、日光霧降高原に誕生した本格的なガラス工房です。ひとりでも多くの人がガラス制作を楽しめるよう体験教室を開催。スタジオ内のショップでは工房オリジナルの作品を展示販売しています。インテリアや、結婚祝い、新築祝いなどにもオススメです。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-1421  栃木県日光市所野1541-1499,36.7754322,139.6132958,"営業時間：10時~１２時・１３時～16時
定休日：火曜、水曜日 ※定休日が祝祭日の場合は営業
休業：１２月～2月　冬季休業",,,,
82,,伝統工芸 日光彫 五十嵐漆器,F0082,,,,観光,ネット予約OK,子連れ,友達,王道,,,,4.4,26,"当店は東武日光駅から3分、またＪＲ日光駅からも徒歩5分の場所にあります。
三百余年の歴史のある日光彫。その【日光彫体験学習】 を日光市にお越しの際には、是非体験してみてはいかがでしょうか。
店内には、日光彫の商品もございます。お土産にも喜ばれております。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1406  栃木県日光市松原町17-7,36.7466411,139.618993,"営業時間：9：00～１７：００
休業日：元日（1月1日）以外無休",,,,
83,,KPS那須高原パラグライダースクール,F0083,,,,観光,ネット予約OK,王道,子連れ,友達,,,,4.5,33,初めての方も安心！インストラクターとの2人乗りで高度差300mから鳥目線のフライトにチャレンジ。半日体験は、自分で操縦ができるコース。高くは飛びません。風をよんでフワっと飛んでみよ～う！ 全国旅行支援（いちご一会とちぎ旅）取扱店舗。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0118  栃木県那須塩原市鴫内740,36.9968388,139.9136344,"営業時間：8時～18時
休業：冬季（雪の状況次第）、営業期間中は無休（ただし天候により不定休）",,,,
84,,サバゲフィールドヘッドアックス,F0084,,,,観光,ネット予約OK,王道,,,,,,5.0,1,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-0501  栃木県那須烏山市志鳥1261,36.7189793,140.0872235,"営業：09:00～２４：00
休業：不定休",,,,
85,,湯滝,F0085,,,,観光,王道,,,,,,,4.4,776,"湯ノ湖の水が三岳熔岩流の高さ６0メートルの岩壁を流れ落ち、湯川となって戦場ヶ原を流れる。
【規模】落差60ｍ／巾20ｍ全長110ｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1662  栃木県日光市湯元,36.795418,139.428549,取得失敗,,,,
86,,大谷資料館,F0086,,,,観光,ネット予約OK,王道,,,,,,4.4,1028,深さ30m、広さ2万㎡にも及ぶ，大谷石の地下採掘場跡。大正8年の手堀り時代の掘り跡から機械化された昭和34年以降の掘り跡の違いをそれぞれの岩肌で感じられる幻想的な地下空間です。 まるで、ピラミッドの内部のような、ゲームのダンジョンといった不思議な空間を散策することができます。また、映画やドラマなどの様々な映像作品の撮影が行われた場所を見ることができます。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-0345  栃木県宇都宮市大谷町909,36.5999889,139.8247452,"開館時間：4月～11月までは、9：00～17：00 (最終入館 16：30)　/　12月～3月までは、9：30～16：30（最終入館16：00）　※4月～11月：無休
休館日：12月～3月：毎週火曜日休館（祝日の場合は翌日）、年末年始
その他：臨時休館の場合あり、電話でご確認ください",,,,
87,,華厳滝,F0087,,,,観光,王道,,,,,,,4.2,1832,"日本三大名瀑の一つ。中禅寺湖の流出口にある。観瀑台までエレベーターが通じ、９７メートルの岩壁を一気に落ちる様がみられる。
【規模】落差97ｍ／巾10ｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1661  栃木県日光市中宮祠,36.7380893,139.501941,取得失敗,,,,
88,那須塩原温泉,那須高原,F0088,,,,観光,王道,,,,,,,4.3,416,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0301  栃木県那須郡那須町大字湯本,37.0968788,140.0005122,取得失敗,,,,
89,,中禅寺湖,F0089,,,,観光,王道,,,,,,,4.1,1114,"栃木県日光市の日光国立公園内にある「中禅寺湖」。
2万年前に男体山が噴火してできた堰止湖で、日本の湖沼では25番目の面積規模（11.62平方km）を有し、日本百景に選定されている湖です。
中禅寺湖から見える景色は絶景スポットとして人気があり、北には男体山、北西には戦場ヶ原が広がり、ボート、キャンプ場といった施設や、定期の遊覧船に乗ることも可能。
堰止湖のため、もともとは魚は生息していなかったが、明治期より徐々に放流が行われ、現在ではマス類をはじめ24種の魚種が生息しています。
毎年8月4日には勝道上人に関連した土地を船で巡礼する「船禅頂」という行事を開催しています。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1661  栃木県日光市中宮祠,36.7329036,139.4821986,取得失敗,,,,
90,,龍王峡,F0090,,,,観光,王道,,,,,,,4.2,779,"今から2200万年前に海底火山の活動によって噴出した火山岩が鬼怒川の流れによって侵食され、現在のような景観になったと言われています。川治温泉と鬼怒川温泉の間にあり、巨石間を奔流し滝を集め、特に春から秋にかけて素晴らしい。
【規模】延長2.2km ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-2521  栃木県日光市藤原,36.8640507,139.7129931,取得失敗,,,,
91,,竜頭ノ滝,F0091,,,,観光,王道,,,,,,,4.2,601,"湯川の急流が岩をはみ奔流する長さ２10メートルの流れる滝。展望台や落着いた茶屋などがある。
【規模】長さ210ｍ／巾10ｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1661  栃木県日光市中宮祠,36.7576468,139.4514272,取得失敗,,,,
92,,戦場ヶ原,F0092,,,,観光,王道,,,,,,,4.1,492,"湯川が男体山の噴火で堰き止められた堰止湖であったのが、堆積によって湿原化したもの。名前の由来は「戦場ヶ原神戦譚」による。アカギの神（赤城山）とニッコウの神（男体山）がそれぞれ大ムカデ（赤城山）と大蛇（男体山）に化けて戦った場であるという伝説に基づくもの。なお、この伝説で勝ったのはニッコウの神（男体山）である。　高層湿原、低層湿原、中間湿原の３つが揃っており、高山植物の宝庫。ワタスゲやズミ、レンゲツツジ、ホザキシモツケなどが６?８月頃に楽しめる。また、野鳥の種類が多いことでも有名。
【規模】標高：約1400ｍ、面積：約174.68ha ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1661  栃木県日光市中宮祠,36.7772479,139.4442998,取得失敗,,,,
93,那須塩原温泉,鬼怒楯岩大吊橋,F0093,,,,観光,王道,,,,,,,4.0,797,『鬼怒楯岩大吊橋』は、平成21年春に完成した全長140ｍの歩行者用の吊橋です。川面までの高さは、37ｍで絶景が望めます。近々２００万人突破いたします！！そして、鬼怒楯岩大吊橋は、鬼怒川は女性、楯岩は男性を表すとされている事から縁結びの橋と言われています。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-2522  栃木県日光市鬼怒川温泉大原1436,36.8206606,139.7083896,取得失敗,,,,
94,,男体山,F0094,,,,観光,王道,,,,,,,4.2,206,"山頂に二荒山神社の奥宮をまつり、古くから山岳信仰の対象として信仰登山が盛ん。中宮祠から４時間。
【規模】標高：2486 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1661  栃木県日光市中宮祠,36.7654844,139.4907465,取得失敗,,,,
95,,湯ノ湖,F0095,,,,観光,王道,,,,,,,4.2,296,"湯川が堰きとめられてできた周囲約３ｋｍの堰止湖。周囲にはノリウツギ、オオカメノキ、ウダイカンバなどの広葉樹と、コメツガ、ウラジロモミなどの針葉樹の原生林があり、変化に富んだ自然を楽しめる。
【規模】面積：0.32? ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1662  栃木県日光市湯元,36.8001215,139.4243626,取得失敗,,,,
96,,竜化の滝,F0096,,,,観光,王道,,,,,,,4.3,279,"塩原の名瀑の中でも、もっとも代表的な滝である。水量がとても多く、３段を豪快に流れる様は白竜が踊っている姿を連想させる。
【規模】落差130ｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒329-2921  栃木県那須塩原市塩原字東山国有林,36.9685046,139.8494017,取得失敗,,,,
97,,那須岳（茶臼岳）,F0097,,,,観光,王道,,,,,,,4.2,273,"那須火山群の主峰，茶臼岳をさし，今も噴煙をあげる活火山。ロ-プウェイの那須岳山頂駅より徒歩約５0分。
【規模】標高：1915 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒329-3211  栃木県那須郡那須町大字湯本,37.1249649,139.9645965,取得失敗,,,,
98,,太平山,F0098,,,,観光,王道,,,,,,,4.1,127,"標高は低いが関東平野を一望にできる。天気の良い日にはとうきょうスカイツリーや富士山が一望できる。桜やアジサイ、紅葉の名所。また、三大名物（太平山だんご、たまご焼、焼鳥）も有名。
【規模】標高：341m ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒328-0001  栃木県栃木市薗部町４丁目25,36.3650863,139.6902534,取得失敗,,,,
99,,霧降高原,F0099,,,,観光,王道,,,,,,,4.1,151,"高原の中央を観光自動車道が走り、キャンプ場、牧場が点在する。日光キスゲの大群落がある。
【規模】標高：1500 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1421  栃木県日光市所野,36.8068017,139.5908883,取得失敗,,,,
100,,乙女の滝,F0100,,,,観光,王道,,,,,,,4.2,166,"沢名川にかかる落差10m、幅5mの小規模ながら美しい滝。名前の由来には諸説あり、水の流れ自体が少女の姿に見えるからとも、人魚を見かけた伝説からとも言われている。
【規模】落差10ｍ／幅5ｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒325-0111  栃木県那須塩原市板室703,37.0668997,139.9376467,取得失敗,,,,
101,,大谷石,F0101,,,,観光,王道,,,,,,,4.1,112,宇都宮市の大谷付近から産出される耐震、耐火、耐久性に富み、加工しやすいという特性を持つ石で、主に石塀や置物などに加工される。石の色によって2種類に区別され、地表近くで採れる方を白目、地下で採れる方を青目と呼ぶ。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-0345  栃木県宇都宮市大谷町地内,36.5999889,139.8247452,取得失敗,,,,
102,,霧降滝,F0102,,,,観光,王道,,,,,,,4.0,174,"全高８0メートル。二段になって落下し、途中落水が岩にあたって霧状になるのでこの名がある。華厳ノ滝・裏見滝とともに日光三名瀑の1つ。
【規模】落差80ｍ／巾20ｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1421  栃木県日光市所野,36.7801222,139.6237584,取得失敗,,,,
103,那須塩原温泉,塩原渓谷歩道,F0103,,,,観光,王道,,,,,,,4.2,63,魅力あふれる塩原で、最も誇るべき大自然。塩原渓谷歩道は、箒川沿いに12kmにわたって続く散策路で、回顧の吊り橋から源三窟まで、いろいろなコースがある。名所を巡るコースが多いので、コースガイドを片手に観光も兼ねてハイキングをするといいかも。短いコースなら所要時間は40分程度とほどよい。 緑豊かな森林の香気を浴びてのんびりお散歩 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒329-2921  栃木県那須郡塩原町下塩原,36.970537,139.8199326,取得失敗,,,,
104,那須塩原温泉,那須高原展望台 恋人の聖地,F0104,,,,観光,王道,,,,,,,3.9,35,晴れた日は筑波山はもちろん関東平野が一望でき、背景には那須連山の雄大な景色をのぞむことができます。 恋人の聖地100番目に登録されています。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0301  栃木県那須町湯本,37.1049897,139.9955416,定休日：無休,,,,
105,,大沼,F0105,,,,観光,王道,,,,,,,3.8,62,"雪解けとともに、４月下旬にはミズバショウが見頃となり、ズミの白花、エゾミソギ、秋の紅葉を見るたびにその景観を楽しむことが出来る。また、６月頃には、モリアオガエルが木の枝に卵塊をつくる。大沼の東側は通年水をたたえ、西側はヨシ群落となっており、南側にはハルニレ、ミズナラ、ブナ等の巨木群が見られる。
【規模】面積：0.5 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒329-2921  栃木県那須塩原市塩原字前黒,41.9987492,140.6903742,取得失敗,,,,
106,,日光杉並木,F0106,,,,観光,王道,,,,,,,4.1,55,"日光街道・例幣使街道・会津西街道の両側に延３７ｋｍにわたってつづく杉並木で、松平正綱が紀州熊野から２０万本余りの杉苗を取り寄せ寄進したもの。現在その内１万２０００余本が残っている。日光街道を宇都宮に向かう右側に杉に桜が寄生した珍しい桜杉がある。
文化財 国指定特別史跡  作成年代: 江戸時代 指定年: 1952 3月
文化財 国指定特別天然記念物  作成年代: 江戸時代 指定年: 1954 3月 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1263  栃木県日光市瀬川地内 杉並木公園他,36.7286552,139.6758614,取得失敗,,,,
107,,虹見の滝,F0107,,,,観光,王道,,,,,,,4.2,28,栃木県日光市の龍王峡に有る滝 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-2521  栃木県日光市藤原,36.8602105,139.7174892,取得失敗,,,,
108,,鎌倉山,F0108,,,,観光,王道,,,,,,,4.0,35,"山頂からの眺めは那珂川沿岸随一といわれる。10月下旬から12月にかけて、那珂川の川霧による雲海をみることもできる。
【規模】標高：216 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-3542  栃木県芳賀郡茂木町大字九石,,,取得失敗,,,,
109,,高峰山,F0109,,,,観光,王道,,,,,,,4.2,11,"茨城県との県境にあり山頂からの眺めがすばらしく、パラグライダーの基地跡がある。冬の空気の澄んだ朝には富士山を眺めることもできる
【規模】標高：519.6 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-3628  栃木県芳賀郡茂木町大字深沢,36.4012112,138.4572151,取得失敗,,,,
110,,龍門の滝,F0110,,,,観光,王道,,,,,,,4.0,105,"２0ｍの段差を落下する光景は迫力がある。　大蛇が住むという伝説があり、名称の由来にもなっている。　周辺には遊歩道が整備されており、滝を目の前で見ることができます。
【規模】幅65ｍ／落差20ｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-0633  栃木県那須烏山市滝,36.6455986,140.1398144,取得失敗,,,,
111,,龍王峡 自然研究路,F0111,,,,観光,王道,,,,,,,4.1,25,"鬼怒川に沿って造られた、龍王峡探勝コースである。下流から順に、白龍ケ淵、青龍ケ淵、紫龍ケ淵に大別され、様々な色や形のおもしろい石が続いている。龍王神社、虹見ノ滝、かめ穴、岩ノ原、五光岩など見どころがたくさんある。
起終点・経路 五龍王神社～白岩
延長 ２ｋｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-2521  栃木県日光市藤原,36.8595801,139.7173626,取得失敗,,,,
112,那須塩原温泉,那須ワールドモンキーパーク,F0305,,,,観光,王道,,,,,,,4.1,469,"世界中のさまざまな種類のサルを中心とした動物園。園内ではサルを見るだけでなく、サルたちと触れ合い、餌を直接をあげることが出来る。また、ゾウの森にいる２頭のアジアゾウに乗ることも出来る。ふれあいがメインの動物園。


※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒325-0001  栃木県那須郡那須町高久甲6146,37.0351956,140.0484997,"営業時間：9時～17時（季節により変動あり）
休園：年中無休（2017/12/7は園内整備のため休園とさせていただきます）",,,,
113,草津温泉,宿で就寝,F0318,,,,宿泊,王道,人気の温泉,,,,,,XXX,,日本有数の名湯として名高く、名物「湯畑」を中心に、様々なタイプの宿やみやげ物店が多数ある活気のある温泉地。殺菌力の強い源泉が町のあちこちから湧き出ていて、無料で湯めぐりができる。,〒377-1711 群馬県吾妻郡草津町草津４６５−４ 草津温泉ホテル 櫻井,36.62173659,138.5933328,通年営業,,2,5,15
114,万座温泉,宿で就寝,F0313,,,,宿泊,王道,秘湯の温泉,,,,,,4.5,725,標高2160mの白根山の南西麓にあり、日本でも有数の高地にある温泉。湧き出る白濁した湯は抜群の効能を誇る。,〒377-1528 群馬県吾妻郡嬬恋村万座温泉,36.6357339,138.5088174,通年営業,,2,4,
115,,榛名神社,F0112,,,,観光施設,王道,,,,,,,4.5,998,"１４００余年前、第３１代用明天皇の時代に創建されたといわれる古社。本殿は２００余年前の文化３年に再建され、御祭神は後方の御姿岩の洞窟の中に祀られています。境内には、戦国時代、武田信玄が箕輪城攻略の際、矢を立て戦勝を祈願した矢立杉(やたてすぎ）をはじめ、文化財・天然記念物が多数点在しています。現在はパワースポットとして若者からお年寄りまで多くの方で賑わっています。
創建年代 ５８５ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒370-3341  群馬県高崎市榛名山町849,36.4586272,138.8522043,取得失敗,30,0,,
116,,吹割の滝,F0113,,,,観光施設,王道,,,,,,,4.2,"1,397","1936年に天然記念物及び名勝に指定された、東洋のナイアガラとも呼ばれる幅30ｍ高さ７ｍの「吹割の滝」。
群馬県沼田市にあり、利根川水系。
滝から吹き上がる水しぶきが河床を割くように流れているように見えたことで、この名がつけられました。
また、「竜宮の椀」の伝説がある滝で、滝壷は竜宮に通じているとも言われています。
その昔、村人が祝儀の度に、お椀やお膳を借りたいとお願いをした手紙を滝壺に投げ入れたといわれたが、
一度だけ借りたものを返し忘れてしまったことで、それ以来は二度とお椀やお膳を借りれなくなったといわれています。
※天候により遊歩道が通れない場合もあるので要注意。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒378-0303  群馬県沼田市利根町大字追貝,36.7022355,139.2073279,取得失敗,60,0,,
117,草津温泉,西の河原露天風呂,F0114,,,,観光施設,王道,,,,,,,4.2,"1,453",青空の下、開放的な気分で入浴できる、西の河原公園内の露天風呂。公園には温泉の流れる湯の川も。ダイナミックな露天風呂だけど、男女の仕切りがあり、女湯は公園を散策する人からは見えないように、細やかな配慮がされているので安心。とは言えちょっと勇気がいるけど、大自然に抱かれての入浴は格別！ 雑木林に囲まれた大自然の露天風呂 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒377-1711  群馬県吾妻郡草津町大字草津521-3,36.6243123,138.5883882,"営業：7時～20時（12月～翌3月9時～）受付～各19時30分
休業：6月にメンテナンス休館あり
その他：年中無休",60,1,,
118,草津温泉,西の河原公園,F0115,,,,観光施設,王道,,,,,,,4.2,682,草津温泉街の西はずれにある。広い河原のいたるところで源泉が噴き出して川となって流れる様は異様な雰囲気を持っている。流れ出した湯が滝や池になっている。また園内には大露天風呂有。日没から２２時までは、ライトアップが幻想的です。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒377-1711  群馬県吾妻郡草津町草津,36.6241602,138.5896634,取得失敗,60,1,,
119,伊香保温泉,伊香保おもちゃと人形・自動車博物館,F0116,,,,観光施設,王道,,,,,,,4.3,"1,054",１００カ国の人形と昭和初期からのおもちゃ約３万点 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒370-3606  群馬県北群馬郡吉岡町上野田2145,36.4637501,138.9691358,"公開：(4/25～10/31)８:３０～１８:００(11/1～ 4/24)８:３０～１７:００
休業：年中無休",90,1,,
120,四万温泉,伊香保おもちゃと人形・自動車博物館,F0116,,,,観光施設,王道,,,,,,,4.3,"1,054",１００カ国の人形と昭和初期からのおもちゃ約３万点 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒370-3606  群馬県北群馬郡吉岡町上野田2145,36.4637501,138.9691358,"公開：(4/25～10/31)８:３０～１８:００(11/1～ 4/24)８:３０～１７:００
休業：年中無休",90,1,,
121,草津温泉,大滝乃湯,F0117,,,,観光施設,王道,,,,,,,4.4,583,"湯の滝、露天風呂、あわせ湯、サウナなど、様々な湯の効果をたのしめる。
【料金】 大人: 900円 子供: 400円
【温泉情報】温泉効能：経痛、筋肉痛、関節痛、五十肩、運動麻痺、関節の強張り、打ち身、挫き、慢性消化器病、痔疾、冷え性、病後回復、疲労回復、健康増進、慢性皮膚病、動脈硬化症、切り傷、火傷、虚弱児童、慢性婦人病 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒377-1711  群馬県吾妻郡草津町大字草津596-13,36.6229109,138.6015251,"その他：営業 9:00～21:00 最終入館は20:00まで
休業 年中無休（12月上旬?中旬整備休館有）",90,1,,
122,,群馬サファリパーク,F0118,,,,観光施設,ネット予約OK,王道,,,,,,4.2,736,約100種1000頭羽の動物が広大な敷地で本来の生態系に近い姿で生活し、専用バスや自家用車等で動物の観察ができます。また、動物に餌を与えられるエサやり体験バスもあり、動物たちの顔や口が目の前に迫ってくるスリリングなエサやりを体験できます。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒370-2321  群馬県富岡市岡本1,36.225678,138.8852041,"開園：9:30～17:00
開園：11月1日～2月 9:30～16:00",180,1,,
123,草津温泉,軽井沢おもちゃ王国,F0119,,,,観光施設,王道,子連れ,,,,,,4.1,801,見て、触れて、体験できる「おもちゃ」のテーマパーク。北関東最大級規模、約120のアスレチックエレメントがそろう「わくわく大冒険の森」や渓流釣りのほか、0歳から楽しめるアトラクション、「リカちゃんハウス」など全11館のおもちゃのお部屋もあり、家族で１日中楽しめる。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒377-1512  群馬県吾妻郡嬬恋村大前細原2277,36.4729037,138.5436476,4月中旬～11月下旬。冬季は休業 （詳細はＨＰへ）,240,1,,
124,万座温泉,軽井沢おもちゃ王国,F0119,,,,観光施設,王道,子連れ,,,,,,4.1,801,見て、触れて、体験できる「おもちゃ」のテーマパーク。北関東最大級規模、約120のアスレチックエレメントがそろう「わくわく大冒険の森」や渓流釣りのほか、0歳から楽しめるアトラクション、「リカちゃんハウス」など全11館のおもちゃのお部屋もあり、家族で１日中楽しめる。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒377-1512  群馬県吾妻郡嬬恋村大前細原2277,36.4729037,138.5436476,4月中旬～11月下旬。冬季は休業 （詳細はＨＰへ）,240,1,,
125,伊香保温泉,伊香保温泉の石段街,F0120,,,,観光施設,王道,,,,,,,3.9,"2,604","伊香保温泉の温泉街は石段の中央道路を挾んで左右に雛段式に旅館・ホテル・土産品店・飲食店が建ち並び、温泉の香りがあたりに立ち込めて独特な情緒をかもし出しており、入浴客の石段街を散策する“カラコロ”と鳴る下駄の音がたまらない詩情をかきたてている。
【規模】365段 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒377-0102  群馬県渋川市伊香保町伊香保,36.4981947,138.9165884,通年営業,90,2,,
126,四万温泉,伊香保温泉の石段街,F0120,,,,観光施設,王道,,,,,,,3.9,"2,604","伊香保温泉の温泉街は石段の中央道路を挾んで左右に雛段式に旅館・ホテル・土産品店・飲食店が建ち並び、温泉の香りがあたりに立ち込めて独特な情緒をかもし出しており、入浴客の石段街を散策する“カラコロ”と鳴る下駄の音がたまらない詩情をかきたてている。
【規模】365段 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒377-0102  群馬県渋川市伊香保町伊香保,36.4981947,138.9165884,通年営業,90,2,,
127,草津温泉,伊香保温泉の石段街,F0120,,,,観光施設,王道,,,,,,,3.9,"2,604","伊香保温泉の温泉街は石段の中央道路を挾んで左右に雛段式に旅館・ホテル・土産品店・飲食店が建ち並び、温泉の香りがあたりに立ち込めて独特な情緒をかもし出しており、入浴客の石段街を散策する“カラコロ”と鳴る下駄の音がたまらない詩情をかきたてている。
【規模】365段 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒377-0102  群馬県渋川市伊香保町伊香保,36.4981947,138.9165884,通年営業,90,2,8,
128,万座温泉,伊香保温泉の石段街,F0120,,,,観光施設,王道,,,,,,,3.9,"2,604","伊香保温泉の温泉街は石段の中央道路を挾んで左右に雛段式に旅館・ホテル・土産品店・飲食店が建ち並び、温泉の香りがあたりに立ち込めて独特な情緒をかもし出しており、入浴客の石段街を散策する“カラコロ”と鳴る下駄の音がたまらない詩情をかきたてている。
【規模】365段 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒377-0102  群馬県渋川市伊香保町伊香保,36.4981947,138.9165884,通年営業,90,2,1,70
129,,桐生が岡動物園,F0121,,,,観光施設,王道,,,,,,,4.4,336,"入園無料！平成29年7月にはライオンの赤ちゃんが生まれ、愛称は「オリト」「シルク」「つむぎ」です。100種類以上の動物が見られ、小さな水族館もあります。
【料金】 無料 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒376-0056  群馬県桐生市宮本町3-8-13,36.4211084,139.3403121,"開園：9:00～16:30
休園：※状況により休園の場合があります",120,1,,
130,,ぐんまこどもの国,F0122,,,,観光施設,王道,,,,,,,4.4,291,子供たちが伸び伸びと遊べ、日常では体験できない感動を与えてくれる子供の楽園。木工・陶芸の体験学習ができる「ふれあい工房」や、野鳥の観察ができる「野鳥観察小屋」。他にもサマーボブスレー、おもしろ自転車など、思わず熱中してしまう遊びが盛りだくさん。大人も、子供のころに戻ってしまいそう。 子供たちが思う存分、楽しめる遊びの楽園 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒373-0054  群馬県太田市長手町480,36.3188275,139.3689595,"営業：有料施設9時30分～17時
休業：各施設により異なる※要問合せ",240,1,,
